S.No,Stock Name,Sector,Market Cap Tier,Index Membership,Typical Volatility,Popularity / Liquidity,Better Suited For,Why,Key Price Drivers,Sector Peers to Compare,Daily Trend,Weekly Trend,Monthly Trend,RSI (14)_x,MACD Signal_x,20 DMA,50 DMA,100 DMA,200 DMA,Last Updated_x,EMA 20,EMA 50,EMA 100,EMA 200,Nearest Support,Nearest Resistance,S/R Respect Note,Today's Move,52W High_x,52W Low_x,% from 52W High_x,% from 52W Low_x,ATR (14)_x,% to Support_x,% to Resistance_x,P/E (Trailing)_x,Dividend Yield %_x,RSI (14)_y,MACD Signal_y,Today Volume,Volume Ratio,Open Interest,ATM Strike,ATM Straddle,PCR (OI),Max Pain,Options Strategy Bias,Last Updated_y,India VIX,52W High_y,52W Low_y,% from 52W High_y,% from 52W Low_y,ATR (14)_y,% to Support_y,% to Resistance_y,P/E (Trailing)_y,Dividend Yield %_y,30D Hist Volatility (%)
11,IDFC First Bank Ltd,Banking,Mid Cap,Nifty Bank,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,51.76,-0.34,11579195.0,0.99,0.0,85.0,3.96,0.62,85.0,Option Seller: Bear Call Spread (Call Overhang),2026-09-01 22:18,11.19,88.76,58.08,-4.57,45.83,1.44,2.6,2.64,32.78,30.0,22.74
12,AU Small Finance Bank Ltd,Banking,Mid Cap,Nifty Bank,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,51.08,-3.1,1068952.0,0.63,0.0,1080.0,54.5,0.7,1100.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,1144.1,682.15,-5.6,58.32,21.94,3.49,5.94,28.63,9.0,25.73
13,Bandhan Bank Ltd,Banking,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,30.68,-0.15,5214696.0,0.74,0.0,160.0,11.01,0.73,175.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,220.76,134.25,-26.39,21.04,3.84,0.52,11.22,19.42,92.0,58.91
14,RBL Bank Ltd,Banking,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,49.06,-1.57,2288711.0,1.08,0.0,380.0,18.8,0.55,380.0,Option Seller: Bear Call Spread (Call Overhang),2026-09-01 22:18,11.19,394.5,261.6,-3.55,45.45,6.59,1.08,3.68,31.45,33.0,20.2
15,Union Bank of India,Banking,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,54.41,-0.54,7002385.0,0.62,0.0,185.0,10.42,0.65,185.0,Option Seller: Bear Call Spread (Call Overhang),2026-09-01 22:18,11.19,205.49,125.45,-10.31,46.92,4.41,5.47,4.35,6.84,269.0,23.59
16,Indian Bank,Banking,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,52.23,-1.17,1602957.0,1.23,0.0,880.0,48.1,0.71,880.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,1000.9,660.1,-12.47,32.72,19.14,3.53,3.3,9.29,203.0,20.49
17,Bank of India,Banking,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,47.38,-0.12,3406860.0,0.57,0.0,142.5,7.84,0.77,145.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,178.36,111.33,-20.5,27.37,2.59,1.71,4.3,5.27,323.0,21.0
18,Yes Bank Ltd,Banking,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Very High,Very High,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","RBI repo rate moves, credit growth & NPA trends, quarterly results, bond yield moves","HDFC Bank Ltd, ICICI Bank Ltd, State Bank of India",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,39.08,-0.02,63872649.0,1.28,0.0,22.0,0.99,0.74,23.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,25.78,17.2,-14.66,27.91,0.42,0.27,5.23,18.42,,19.35
19,Bajaj Finance Ltd,NBFC / Financial Services,Large Cap,Nifty 50,Medium-High,Very High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","Cost of funds, RBI/NBFC regulatory tightening, asset quality, credit growth cycle","Bajaj Finserv Ltd, Shriram Finance Ltd, Cholamandalam Investment & Finance Co Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,41.29,-7.82,4813301.0,0.92,0.0,1050.0,51.7,0.83,1080.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,1176.4,787.9,-10.84,33.13,18.25,0.18,11.16,32.37,50.0,35.57
20,Bajaj Finserv Ltd,NBFC / Financial Services,Large Cap,Nifty 50,Medium,High,Selling (Premium),"Moderate, fairly range-bound volatility with strong liquidity: premium is reasonable and strikes can be placed with decent margin of safety; still check IV before results/events.","Cost of funds, RBI/NBFC regulatory tightening, asset quality, credit growth cycle","Bajaj Finance Ltd, Shriram Finance Ltd, Cholamandalam Investment & Finance Co Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,45.83,-10.35,788344.0,0.85,0.0,1960.0,83.5,0.72,2000.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,2195.0,1597.0,-10.34,23.23,31.71,0.4,7.65,31.17,6.0,26.84
21,Shriram Finance Ltd,NBFC / Financial Services,Mid Cap,Nifty 50,Medium-High,High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","Cost of funds, RBI/NBFC regulatory tightening, asset quality, credit growth cycle","Bajaj Finance Ltd, Bajaj Finserv Ltd, Cholamandalam Investment & Finance Co Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,41.52,-9.21,5673585.0,1.43,0.0,1060.0,63.25,0.58,1100.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,1153.7,580.0,-8.65,81.71,29.06,0.31,9.47,18.71,127.0,32.63
22,Cholamandalam Investment & Finance Co Ltd,NBFC / Financial Services,Mid Cap,Nifty 50,Medium-High,High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","Cost of funds, RBI/NBFC regulatory tightening, asset quality, credit growth cycle","Bajaj Finance Ltd, Bajaj Finserv Ltd, Shriram Finance Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,43.37,-11.46,1873461.0,1.77,0.0,1820.0,106.4,0.68,1840.0,Neutral / Stand Aside,2026-09-01 22:18,11.19,1952.5,1299.4,-7.2,39.44,38.53,0.98,7.76,26.84,11.0,29.7
23,Muthoot Finance Ltd,NBFC / Financial Services,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium-High,High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","Cost of funds, RBI/NBFC regulatory tightening, asset quality, credit growth cycle","Bajaj Finance Ltd, Bajaj Finserv Ltd, Shriram Finance Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,42.48,3.53,750967.0,0.72,0.0,2900.0,184.55,0.56,3050.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,4149.5,2671.0,-30.12,8.56,89.52,2.43,11.96,10.26,97.0,38.86
24,Manappuram Finance Ltd,NBFC / Financial Services,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,High,Medium,Buying (Directional),"High to very high volatility, often driven by news flow, ownership/regulatory triggers, or a still-unprofitable/early business model: sudden large moves and gap risk make naked OTM selling dangerous; a long option (defined max loss) fits this profile better than premium selling.","Cost of funds, RBI/NBFC regulatory tightening, asset quality, credit growth cycle","Bajaj Finance Ltd, Bajaj Finserv Ltd, Shriram Finance Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,40.65,-2.7,1860620.0,0.28,0.0,340.0,21.3,0.75,350.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,381.55,245.15,-11.52,37.71,9.91,0.59,10.5,20.6,115.0,27.93
25,LIC Housing Finance Ltd,NBFC / Financial Services,Mid Cap,Broader Nifty universe (Next50/Midcap150/Smallcap) — verify at niftyindices.com,Medium-High,High,Both / Depends on IV,"Volatility swings meaningfully with news/results and business cycle: rich premium can suit selling when IV is elevated, but sizing and strike distance should widen versus low-vol names; also workable for directional buying around clear catalysts.","Cost of funds, RBI/NBFC regulatory tightening, asset quality, credit growth cycle","Bajaj Finance Ltd, Bajaj Finserv Ltd, Shriram Finance Ltd",— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,— fill from your chart —,—,—,—,—,,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,— fill by running script —,56.49,5.57,2000075.0,0.73,0.0,530.0,22.5,1.11,520.0,Option Seller: Short Strangle / Iron Condor,2026-09-01 22:18,11.19,598.2,458.9,-11.17,15.8,11.88,8.65,2.26,5.13,186.0,25.92
